"Date","Open","High","Low","Close","Volume"
"10/07/2025","214.85","218.9","209.28","211.51","115,748,100"
"10/06/2025","226.445","226.709","203.01","203.71","248,859,600"
"10/03/2025","170.68","170.68","163.14","164.67","42,699,150"
"10/02/2025","168.675","171.06","166.12","169.73","55,475,230"
"10/01/2025","160.93","164.18","160.49","164.01","39,895,180"
"09/30/2025","160.795","162.28","159.33","161.79","29,669,330"
"09/29/2025","160.12","164.3","159.9","161.36","39,828,790"
"09/26/2025","160.52","162.11","157.05","159.46","30,316,930"
"09/25/2025","157.135","161.63","154.7798","161.27","36,809,880"
"09/24/2025","162.98","165.1","158.43","160.88","38,464,120"
"09/23/2025","160.52","163.39","159.21","160.9","39,448,320"
"09/22/2025","157.42","162.68","157.42","159.79","46,505,480"
"09/19/2025","157.38","159.84","155.9","157.39","55,448,080"
"09/18/2025","150.96","158.7699","149.85","157.92","84,549,470"
"09/17/2025","159.28","161.63","155.76","159.16","41,823,840"
"09/16/2025","161.37","161.95","159.22","160.46","27,946,480"
"09/15/2025","160.01","162.3","157.6012","161.16","36,808,730"
"09/12/2025","157","160.41","154.92","158.57","42,232,780"
"09/11/2025","158.62","160.21","154.99","155.67","48,817,720"
"09/10/2025","163.54","164.525","158","159.54","52,465,270"
"09/09/2025","151.99","156.66","151.93","155.82","42,802,470"
"09/08/2025","151.8","152.6388","149.22","151.41","41,849,000"
"09/05/2025","157.12","157.14","150.18","151.14","78,255,950"
"09/04/2025","159.935","162.05","157.79","161.79","32,103,500"
"09/03/2025","161.81","164.75","160.58","162.13","30,752,790"
"09/02/2025","158.42","162.3916","156.62","162.32","38,656,130"
"08/29/2025","166.81","168.57","161.9","162.63","37,516,820"
"08/28/2025","168.5","170.99","166.65","168.58","36,285,190"
"08/27/2025","166.04","167.68","164.65","167.13","37,031,040"
"08/26/2025","168.65","169.77","164.91","166.62","52,138,560"
"08/25/2025","165.55","165.59","161.72","163.36","36,134,680"
"08/22/2025","162.17","168.53","161.8","167.76","43,998,610"
"08/21/2025","165.86","165.8799","162.2558","163.71","37,880,460"
"08/20/2025","164.1","166.65","158.25","165.2","60,233,230"
"08/19/2025","173.1","173.17","166.1","166.55","64,455,010"
"08/18/2025","176.755","178.7953","174.36","176.14","35,937,530"
"08/15/2025","180.06","180.14","176.25","177.51","51,543,140"
"08/14/2025","179.83","185.44","179.56","180.95","66,308,820"
"08/13/2025","179.91","186.65","179.38","184.42","108,305,100"
"08/12/2025","173.32","175.16","168.5","174.95","52,335,750"
"08/11/2025","170.04","178.82","169.38","172.28","70,651,030"
"08/08/2025","174.04","176.48","170.52","172.76","68,866,690"
"08/07/2025","166.835","175.75","166.7","172.4","95,448,310"
"08/06/2025","165.05","166.18","157.8","163.12","133,641,800"
"08/05/2025","177.565","177.99","171.8","174.31","88,808,520"
"08/04/2025","174.605","177.86","173.56","176.78","52,951,040"
"08/01/2025","170.16","174.4","166.82","171.7","75,396,130"
"07/31/2025","182.015","182.5","173","176.31","71,765,290"
"07/30/2025","175.605","180.37","173.8","179.51","64,820,290"
"07/29/2025","175.205","182.31","174.68","177.44","108,154,800"
"07/28/2025","169.08","174.7","168.67","173.66","68,267,840"
"07/25/2025","163.505","167.175","162.36","166.47","53,432,260"
"07/24/2025","159.12","163.93","158.36","162.12","48,440,110"
"07/23/2025","156.315","159.4485","156","158.65","41,510,900"
"07/22/2025","156.2","156.2291","149.34","154.72","49,028,020"
"07/21/2025","157.62","160.34","156.92","157","39,021,130"
"07/18/2025","159.59","160.83","155.81","156.99","48,859,840"
"07/17/2025","161.81","161.96","158.68","160.41","50,605,120"
"07/16/2025","155.31","160.36","152.85","160.08","59,492,760"
"07/15/2025","153.75","158.68","153.56","155.61","93,370,080"
"07/14/2025","145.09","147.58","141.9","146.24","44,718,550"
"07/11/2025","142.6","147.4","141.6","146.42","50,049,180"
"07/10/2025","143","145.82","141.85","144.16","61,101,470"
"07/09/2025","138.69","140.65","137.59","138.41","37,013,130"
"07/08/2025","137.32","139.15","135.91","137.82","36,124,610"
"07/07/2025","136.56","137.44","133.5","134.8","37,395,010"
"07/03/2025","139.11","139.5","137.32","137.91","28,645,990"
"07/02/2025","135.53","139.78","135.22","138.52","39,227,990"
"07/01/2025","138.77","140.23","135.1202","136.11","55,257,240"
"06/30/2025","144","146","141.01","141.9","42,972,470"
"06/27/2025","144.18","147.7504","141.63","143.81","61,937,850"
"06/26/2025","145.97","146","141.91","143.68","58,180,080"
"06/25/2025","140.94","144.18","139.46","143.4","74,607,220"
"06/24/2025","133.43","138.79","132.93","138.43","78,572,000"
"06/23/2025","130.47","133.25","126.82","129.58","65,152,870"
"06/20/2025","129","132.805","127.55","128.24","79,930,980"
"06/18/2025","128.01","129.21","125.77","126.79","49,627,110"
"06/17/2025","127.93","130.7","126.58","127.1","86,623,910"
"06/16/2025","118.635","128.1393","117.78","126.39","100,968,500"
"06/13/2025","116.045","117.883","115.06","116.16","39,702,740"
"06/12/2025","120.615","122.25","118.03","118.5","44,718,370"
"06/11/2025","124.44","124.47","119.88","121.14","32,261,860"
"06/10/2025","121.105","124.09","120.8","123.24","41,691,910"
"06/09/2025","119.18","122.3699","119.04","121.73","55,437,650"
"06/06/2025","117.685","118.38","115.88","116.19","27,042,080"
"06/05/2025","118.95","119.2448","114.71","115.69","34,182,900"
"06/04/2025","117.41","119.295","115.73","118.58","31,024,990"
"06/03/2025","114.5","117.68","113.28","117.31","37,161,480"
"06/02/2025","111.06","114.86","111.01","114.63","34,078,360"
"05/30/2025","111.584","112.11","108.6154","110.73","36,088,470"
"05/29/2025","115.485","115.54","112.13","113.03","30,572,130"
"05/28/2025","114.915","114.948","112.66","112.86","27,483,740"
"05/27/2025","113.175","115.395","112.27","114.56","37,885,020"
